NU_INSCRICAO;NU_ANO;TP_FAIXA_ETARIA;TP_SEXO;TP_ESTADO_CIVIL;TP_COR_RACA;TP_NACIONALIDADE;TP_ST_CONCLUSAO;TP_ANO_CONCLUIU;TP_ESCOLA;TP_ENSINO;IN_TREINEIRO;CO_MUNICIPIO_ESC;NO_MUNICIPIO_ESC;CO_UF_ESC;SG_UF_ESC;TP_DEPENDENCIA_ADM_ESC;TP_LOCALIZACAO_ESC;TP_SIT_FUNC_ESC;CO_MUNICIPIO_PROVA;NO_MUNICIPIO_PROVA;CO_UF_PROVA;SG_UF_PROVA;TP_PRESENCA_CN;TP_PRESENCA_CH;TP_PRESENCA_LC;TP_PRESENCA_MT;CO_PROVA_CN;CO_PROVA_CH;CO_PROVA_LC;CO_PROVA_MT;NU_NOTA_CN;NU_NOTA_CH;NU_NOTA_LC;NU_NOTA_MT;TX_RESPOSTAS_CN;TX_RESPOSTAS_CH;TX_RESPOSTAS_LC;TX_RESPOSTAS_MT;TP_LINGUA;TX_GABARITO_CN;TX_GABARITO_CH;TX_GABARITO_LC;TX_GABARITO_MT;TP_STATUS_REDACAO;NU_NOTA_COMP1;NU_NOTA_COMP2;NU_NOTA_COMP3;NU_NOTA_COMP4;NU_NOTA_COMP5;NU_NOTA_REDACAO;Q001;Q002;Q003;Q004;Q005;Q006;Q007;Q008;Q009;Q010;Q011;Q012;Q013;Q014;Q015;Q016;Q017;Q018;Q019;Q020;Q021;Q022;Q023;Q024;Q025
200005936768;2020;18;F;1;2;1;1;14;1;;0;;;;;;;;3202405;Guarapari;32;ES;0;0;0;0;;;;;;;;;;;;;1;;;;;;;;;;;;H;B;F;F;4.0;D;A;C;D;B;A;B;A;A;A;A;A;B;C;A;A;D;A;B;B
200006152105;2020;14;F;3;2;1;1;14;1;;0;;;;;;;;2800308;Aracaju;28;SE;0;0;0;0;;;;;;;;;;;;;1;;;;;;;;;;;;B;B;D;B;1.0;B;A;B;D;A;A;B;A;B;A;B;A;A;B;A;A;B;A;B;B
200005787891;2020;3;F;1;2;1;1;1;1;;0;;;;;;;;3136702;Juiz de Fora;31;MG;1;1;1;1;600.0;570.0;579.0;589.0;477.9;593.4;591.3;453.3;DCADDBEDAECCDDEBEAEAEECDBAADDEAECBDABCEAEBDCC;BDCECCECEDCCEAEAABBDAADCDDEAADDCBCCDEBABADDAE;99999ADBCADBCCEAADCADEADEBAEADEBDECDCEEDECDBEABBDB;BDBEABCDDCDADCBAACABCCCDBDDDAACBEDBBEEACACCDB;1;DCDXDCCAEBADCBAAEACCBCEDDCBDDDAEDDCDECCEDBDDD;BDDBECECBACDBDEEBDEDDAECDDCCADECBCCCBBEDABCDE;AACDEEEECADBBCAAADBADEABEBAAADEBADADAEBDACAACBBECE;BAECDBBXCCCBDBACCDBEEEBCCAABCCACEACCEDBCABCDA;1.0;120.0;140.0;120.0;160.0;160.0;700.0;H;D;F;B;2.0;B;A;B;C;A;A;B;A;B;A;B;A;A;B;B;A;C;A;B;B
200005648808;2020;3;F;1;2;1;2;0;2;1.0;0;;;;;;;;3302403;Macaé;33;RJ;1;1;1;1;600.0;570.0;579.0;589.0;439.5;473.8;492.1;409.3;DCCDCDBCEBBDCDCBEADBDBECDEDBACCADECAADCCBBDAE;BCAEDABCBAAEACDECDBECAACDDCBEACADBEAABCDBDEEB;AABCE99999DBCECDBEDADBEABBECEDBBCBBDEBCDABBDBECDBB;BDCEBCDAAECDEBDDDEBEBAEDCDBDBEBCEAACDBBEECAAD;0;DCDXDCCAEBADCBAAEACCBCEDDCBDDDAEDDCDECCEDBDDD;BDDBECECBACDBDEEBDEDDAECDDCCADECBCCCBBEDABCDE;AACDEEEECADBBCAAADBADEABEBAAADEBADADAEBDACAACBBECE;BAECDBBXCCCBDBACCDBEEEBCCAABCCACEACCEDBCABCDA;1.0;140.0;200.0;160.0;100.0;180.0;780.0;H;E;F;B;2.0;B;A;B;C;A;A;B;B;B;A;B;A;B;B;B;B;D;A;A;B
200004372689;2020;9;M;1;2;1;1;0;1;;0;;;;;;;;2611101;Petrolina;26;PE;1;1;1;1;599.0;568.0;578.0;590.0;404.3;352.1;426.2;393.6;AACDEEDCAECBCDAABBEEEABDEDCBCCCCCDEDAEACBEBDC;CDECEEBEDDACAABEAAADCBBCDEEADBCAACBBECCBAACAA;99999AACCABDEAAECCAAEBEBDABAEADBEDEEBBAADEBDDEAACA;BEEDEECCAEDBAEABABBEAAADDCDBEEBCDDEABABAAEDAD;1;CBDDDDCAAECEDDCEDBDDAEDECAEDCCDDDCBDCDXBAACCB;BDECBCCDEDDAEBDCDDCBBEDABCCBACDBDEECCADEDBECE;CDEAACAEEEBEBADADAAAAACBAEBDEADACDBBDBACECAAADEBBE;CABCAACCACDABEEEBAECXCCCEEDBACCDBCCABBCCBDDBB;1.0;80.0;100.0;100.0;80.0;60.0;420.0;C;C;C;A;4.0;C;A;B;D;A;A;B;A;B;B;A;A;A;B;A;A;C;A;A;B
200005142685;2020;2;F;1;2;1;2;0;2;1.0;0;1302603.0;Manaus;13.0;AM;2.0;1.0;1.0;1302603;Manaus;13;AM;0;0;0;0;;;;;;;;;;;;;1;;;;;;;;;;;;B;D;C;B;6.0;A;A;B;B;A;A;B;A;A;A;A;A;A;A;A;A;C;A;A;B
200005571993;2020;12;M;2;2;1;1;14;1;;0;;;;;;;;3512803;Cosmópolis;35;SP;0;0;0;0;;;;;;;;;;;;;1;;;;;;;;;;;;C;E;F;C;3.0;D;A;B;B;A;A;B;A;B;A;A;A;A;B;A;A;C;A;B;B
200001897154;2020;13;F;1;2;1;1;13;1;;0;;;;;;;;2927408;Salvador;29;BA;0;0;0;0;;;;;;;;;;;;;1;;;;;;;;;;;;B;B;A;A;1.0;A;A;B;B;A;A;B;A;A;A;A;A;A;B;A;A;B;A;A;A
200004752012;2020;3;M;1;2;2;2;0;2;1.0;0;1600303.0;Macapá;16.0;AP;4.0;1.0;1.0;1600303;Macapá;16;AP;0;0;0;0;;;;;;;;;;;;;1;;;;;;;;;;;;E;G;D;E;6.0;B;A;B;C;B;A;A;B;B;A;A;A;A;C;A;A;E;B;A;B
200006622789;2020;9;M;1;2;1;1;7;1;;0;;;;;;;;3302858;Mesquita;33;RJ;0;0;0;0;;;;;;;;;;;;;0;;;;;;;;;;;;C;D;B;B;3.0;C;A;B;C;A;A;B;A;B;A;A;A;A;B;A;A;B;B;A;B
