NU_INSCRICAO;NU_ANO;TP_FAIXA_ETARIA;TP_SEXO;TP_ESTADO_CIVIL;TP_COR_RACA;TP_NACIONALIDADE;TP_ST_CONCLUSAO;TP_ANO_CONCLUIU;TP_ESCOLA;TP_ENSINO;IN_TREINEIRO;CO_MUNICIPIO_ESC;NO_MUNICIPIO_ESC;CO_UF_ESC;SG_UF_ESC;TP_DEPENDENCIA_ADM_ESC;TP_LOCALIZACAO_ESC;TP_SIT_FUNC_ESC;CO_MUNICIPIO_PROVA;NO_MUNICIPIO_PROVA;CO_UF_PROVA;SG_UF_PROVA;TP_PRESENCA_CN;TP_PRESENCA_CH;TP_PRESENCA_LC;TP_PRESENCA_MT;CO_PROVA_CN;CO_PROVA_CH;CO_PROVA_LC;CO_PROVA_MT;NU_NOTA_CN;NU_NOTA_CH;NU_NOTA_LC;NU_NOTA_MT;TX_RESPOSTAS_CN;TX_RESPOSTAS_CH;TX_RESPOSTAS_LC;TX_RESPOSTAS_MT;TP_LINGUA;TX_GABARITO_CN;TX_GABARITO_CH;TX_GABARITO_LC;TX_GABARITO_MT;TP_STATUS_REDACAO;NU_NOTA_COMP1;NU_NOTA_COMP2;NU_NOTA_COMP3;NU_NOTA_COMP4;NU_NOTA_COMP5;NU_NOTA_REDACAO
200001612691;2020;2;F;1;1;1;2;0;2;1.0;0;4125308.0;São Jorge do Ivaí;41.0;PR;2.0;1.0;1.0;4115200;Maringá;41;PR;1;1;1;1;600.0;570.0;579.0;589.0;495.0;494.2;536.3;516.6;DCAABBECADEDDCABDBECCCEABEABCBBEECCDEDABEAADD;BACBEEECBDDDABCECDBCABAEDADBADDCBACDDBADBECDD;AABCD99999DEACABAACAAEBEECDDADDBDEADDAADCCDAECBAAA;BBBEBEECAEAAEDDEDCBEBADCCCDDCCDBEBBCADECBAADA;0;DCDXDCCAEBADCBAAEACCBCEDDCBDDDAEDDCDECCEDBDDD;BDDBECECBACDBDEEBDEDDAECDDCCADECBCCCBBEDABCDE;AACDEEEECADBBCAAADBADEABEBAAADEBADADAEBDACAACBBECE;BAECDBBXCCCBDBACCDBEEEBCCAABCCACEACCEDBCABCDA;1.0;120.0;200.0;140.0;140.0;160.0;760.0
200006200721;2020;3;F;1;1;1;2;0;2;1.0;0;4319125.0;São Martinho da Serra;43.0;RS;2.0;1.0;1.0;4316907;Santa Maria;43;RS;1;1;1;1;600.0;570.0;579.0;589.0;473.8;554.4;560.7;555.3;DABDCAAACCEDBECBAACDDCCABBECBEBDCAEDAAAACBDDC;ADBDAEEABDCDACADDDBBDAACDDABCACCAECBBCBACCADE;99999EAEDCDBCCEBADAADCAAECBAADEADECDCAEDACDECEBDAA;BDABBEECDEBADCCEEEBEAECCDBBEBDDCEACBAADBDBACA;1;DCDXDCCAEBADCBAAEACCBCEDDCBDDDAEDDCDECCEDBDDD;BDDBECECBACDBDEEBDEDDAECDDCCADECBCCCBBEDABCDE;AACDEEEECADBBCAAADBADEABEBAAADEBADADAEBDACAACBBECE;BAECDBBXCCCBDBACCDBEEEBCCAABCCACEACCEDBCABCDA;1.0;120.0;120.0;120.0;120.0;80.0;560.0
200006633667;2020;3;F;1;3;1;2;0;2;1.0;0;2602803.0;Buíque;26.0;PE;2.0;1.0;1.0;2601201;Arcoverde;26;PE;1;1;1;1;600.0;570.0;579.0;589.0;532.6;563.2;554.5;608.5;DCDADACAEDCBCBCABECDBCBADCDCCEADEDCDEDEABBBEC;BDBAEDECEACDACCEBBAECAAC*DDADDDCAEAAACADCECAE;AAACD99999DBACEDAAAADACDEAEAADEADCADCEBDDCDBEEBBAE;CDCCBAEAAECBEBAEDECAEECCACEEADDEEDADEDACBCDBA;0;DCDXDCCAEBADCBAAEACCBCEDDCBDDDAEDDCDECCEDBDDD;BDDBECECBACDBDEEBDEDDAECDDCCADECBCCCBBEDABCDE;AACDEEEECADBBCAAADBADEABEBAAADEBADADAEBDACAACBBECE;BAECDBBXCCCBDBACCDBEEEBCCAABCCACEACCEDBCABCDA;1.0;160.0;160.0;140.0;160.0;180.0;800.0
200003981798;2020;2;M;1;3;1;2;0;3;1.0;0;2927408.0;Salvador;29.0;BA;4.0;1.0;1.0;2927408;Salvador;29;BA;1;1;1;1;600.0;570.0;579.0;589.0;381.9;444.8;529.9;671.6;BADACBDEBDCDCABEDBECDDDBBBCBCDECACCDDEAAAECAD;BAADEEEADDEBACCEEDCCEAAEBCADBAADDBACCBBDBCBDE;AAAAD99999DECCCDAEABDCCAECACADECDECDBEBCAAEBCABAAD;BABCABBBCEACEAADBDAACEDCCAAED.DCDACDEABCEDBCA;0;DCDXDCCAEBADCBAAEACCBCEDDCBDDDAEDDCDECCEDBDDD;BDDBECECBACDBDEEBDEDDAECDDCCADECBCCCBBEDABCDE;AACDEEEECADBBCAAADBADEABEBAAADEBADADAEBDACAACBBECE;BAECDBBXCCCBDBACCDBEEEBCCAABCCACEACCEDBCABCDA;1.0;160.0;160.0;140.0;160.0;180.0;800.0
200005805808;2020;3;M;1;3;1;2;0;2;1.0;0;2302602.0;Camocim;23.0;CE;2.0;1.0;1.0;2302602;Camocim;23;CE;1;1;1;1;597.0;569.0;580.0;587.0;453.4;382.3;487.3;477.8;DDEDAABBCDDCDADCDCCCDADDDCBDCAADADBCABBBCBBCB;BEAAEBDCACCBABDCAACDACBAEEBBCBCADBEBAEBCAEDCE;CEBDE99999CCCABABECCCEDADAECAACAEDCBDDEADAAADDCCCA;BADDBBDBAADCBCBDBDCBEABEDADCEADCCDDEBBCAEDACE;0;DDBACBDDDECDAEDCCCEDBDDCBDDCAAECEDDACCBAEDCDX;DECCADEBDECBBECDDCBACDBDEEDABCDDAEDBECECBCCBD;DCEAAEEEACAACBBEBEBAAADBBAEBCEDBAADADDEADEBDACCAAA;DABCCAEDBBCCCABCACCBDXCCCBEEEDBBACCDACBAEBAEC;1.0;80.0;120.0;100.0;80.0;60.0;440.0
200002960677;2020;3;F;1;3;1;2;0;2;1.0;0;4102000.0;Assis Chateaubriand;41.0;PR;1.0;1.0;1.0;4102000;Assis Chateaubriand;41;PR;1;1;1;1;600.0;570.0;579.0;589.0;422.9;561.0;556.8;530.3;DBCACCCDEDEBCBCAAEEADACBDBEECBCDEDBBDEEAEDBAD;BDDAECCCAADDACDECBABDADBADCCBDDCAEBABBAADAADE;DACDC99999DBECDBADBADEBCCCDEADECDCEDDEEDDECBCEBBAA;BADECACCBDAEEBDEADBBBECDCADACBCBEDCAEDAABEBBC;0;DCDXDCCAEBADCBAAEACCBCEDDCBDDDAEDDCDECCEDBDDD;BDDBECECBACDBDEEBDEDDAECDDCCADECBCCCBBEDABCDE;AACDEEEECADBBCAAADBADEABEBAAADEBADADAEBDACAACBBECE;BAECDBBXCCCBDBACCDBEEEBCCAABCCACEACCEDBCABCDA;4.0;0.0;0.0;0.0;0.0;0.0;0.0
200001477879;2020;2;M;1;1;1;2;0;3;1.0;0;4104808.0;Cascavel;41.0;PR;4.0;1.0;1.0;4104808;Cascavel;41;PR;1;1;1;1;702.0;689.0;693.0;698.0;623.2;594.3;584.9;846.1;EDAAEBCCCDDCDBADCBCCBCDCACEACEABEDDBAEACBBADE;BCAEBCBDCABEAABBBAAAAEBABEDDAEDEBEBCADDABAEDB;EAACD99999DEDDAAEDDDDCCACEADDEDDBBEABCDDADABCCCBCB;BBEADECAECBBDCEBADAACDEDACEDADDADCBCCBBDACBED;0;ABBACBCCCDDDDBAEEBECEDACABDCBEDAECDABECCBBADE;BCEECDBCCDEBDBBBBEAAAEACBCDDDBDDBABDABDDBAABC;EDACD99999BEEDBAEDBCECCACCADCEBBCBEABCADAABBAEDBEA;BBEADECAECBBXCEBADBACAEDACEDADAADCBCCBBDABBEE;1.0;140.0;120.0;80.0;120.0;120.0;580.0
200004548747;2020;3;M;1;3;1;2;0;2;1.0;0;2706307.0;Palmeira dos Índios;27.0;AL;1.0;1.0;1.0;2706307;Palmeira dos Índios;27;AL;1;1;1;1;600.0;570.0;579.0;589.0;550.7;587.7;596.8;734.3;DCCDDDCDACEDCAADACEDBCDEBACADDCEEACCDCDEDBEDC;BDDDDEBABDCDCDCBEADDDADCDDCCAAACEDECBBDAAEAAE;AABDD99999DBCCAEADAAECBAEBAAADEBCDCDEEEDAACEBBBDAC;BACCDEBDCCCBDBCCCDCEEEBCCAABCCBCEDCDEDACBBDBA;0;DCDXDCCAEBADCBAAEACCBCEDDCBDDDAEDDCDECCEDBDDD;BDDBECECBACDBDEEBDEDDAECDDCCADECBCCCBBEDABCDE;AACDEEEECADBBCAAADBADEABEBAAADEBADADAEBDACAACBBECE;BAECDBBXCCCBDBACCDBEEEBCCAABCCACEACCEDBCABCDA;1.0;160.0;200.0;200.0;200.0;200.0;960.0
200002203943;2020;3;M;1;2;1;2;0;3;1.0;0;2927408.0;Salvador;29.0;BA;4.0;1.0;1.0;2927408;Salvador;29;BA;1;1;1;1;597.0;569.0;580.0;587.0;505.6;586.6;595.0;602.6;DDBDEDACCDDEAEEE*EABDCDBBECDECECABBAEBDBCDAAB;AECABADBDDBBCECEBCDACDACABABCCEAAADEECDCDCCBA;DCDAA99999DBEBBEACBADEDBADEDEADAACCCDDEADEADBBCCDA;BACCBCEEBDCBBDCBDCDADBBEDCADECEBCEBCABBEDDABC;0;DDBACBDDDECDAEDCCCEDBDDCBDDCAAECEDDACCBAEDCDX;DECCADEBDECBBECDDCBACDBDEEDABCDDAEDBECECBCCBD;DCEAAEEEACAACBBEBEBAAADBBAEBCEDBAADADDEADEBDACCAAA;DABCCAEDBBCCCABCACCBDXCCCBEEEDBBACCDACBAEBAEC;1.0;120.0;200.0;160.0;160.0;140.0;780.0
200003986164;2020;2;F;1;3;1;2;0;2;1.0;0;1501782.0;Breu Branco;15.0;PA;2.0;1.0;1.0;1501782;Breu Branco;15;PA;1;1;1;1;597.0;569.0;580.0;587.0;368.5;433.0;529.3;334.5;EEBBBECCACDEADCBAEACACDDCCCDCADDEBDEDBDCADBEA;BCAAADDBCDCBDEEAAEEDDBCACDBBECCEADDABEBCAEABE;99999EDEACDBDBBDCABECADAADEABBDBADDEDEABDBAACEACAA;DBAEDBCEDDBBADEEAEBCACABDCEDBAECBDECBBDABEDBA;1;DDBACBDDDECDAEDCCCEDBDDCBDDCAAECEDDACCBAEDCDX;DECCADEBDECBBECDDCBACDBDEEDABCDDAEDBECECBCCBD;DCEAAEEEACAACBBEBEBAAADBBAEBCEDBAADADDEADEBDACCAAA;DABCCAEDBBCCCABCACCBDXCCCBEEEDBBACCDACBAEBAEC;1.0;140.0;160.0;160.0;160.0;60.0;680.0
